V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,LocationLatitude,LocationLongitude,LocationAccuracy,LastActivity,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,condition,vis,userID,un,"Please answer the following True or False questions, which are based on the visualization you wer...-40% (rounded to the nearest integer) of the expenditure for people in the US is on voluntary health insurance","Please answer the following True or False questions, which are based on the visualization you wer...-Among the countries shown, the US is among the 5 highest for the most number of Infant mortality per 1,000 live births","Please answer the following True or False questions, which are based on the visualization you wer...-The US has the highest drug-related deaths per million people","Please answer the following True or False questions, which are based on the visualization you wer...-Italy ranks among the top 10 in all except one of the dimensions","Please answer the following True or False questions, which are based on the visualization you wer...-Denmark, Sweden, Norway and Finland are among the top 15 countries in terms of Government spending on health care as a percentage of the total expenditure on healthcare.","Please answer the following True or False questions, which are based on the visualization you wer...-The per-capita spending on health care for people in the US spend is approximately equal to that for people in Japan","Please answer the following True or False questions, which are based on the visualization you wer...-Among the 35 OECD countries, the rank of the US in terms of life expectancy is in the top 25","Please answer the following True or False questions, which are based on the visualization you wer...-The US ranks in the top 10 for compare in terms of percentage government spending on healthcare","Please answer the following True or False questions, which are based on the visualization you wer...-US has one of the lowest per-capita spending on pharmaceuticals (prescription medicines and over-the-counter products)","Please answer the following True or False questions, which are based on the visualization you wer...-Japan has the lowest number Suicides per 100,000 population","Please answer the following True or False questions, which are based on the visualization you wer...-Per-capita cost of healthcare for the US is the least among all the 35 OECD countries shown","Please answer the following True or False questions, which are based on the visualization you wer...-The atmospheric CO2 levels increased linearly by approximately 90ppm over the course of the past 60 years (1958 - present)","Please answer the following True or False questions, which are based on the visualization you wer...-Based on current trends, we cannot expect the atmospheric CO2 levels to fall back to the levels they were in the 1950s.","Please answer the following True or False questions, which are based on the visualization you wer...-The average atmospheric levels for the past 12,000 years is significantly less than the average atmospheric CO2 levels for the past 60 years","Please answer the following True or False questions, which are based on the visualization you wer...-Based on current trend, 3 years from now, the average atmospheric CO2 levels would be 412ppm","Please answer the following True or False questions, which are based on the visualization you wer...-Before the industrial age, the maximum CO2 level in the past 12,000 years was approximately 285ppm","Please answer the following True or False questions, which are based on the visualization you wer...-The CO2 level increases between June and September of every year","Please answer the following True or False questions, which are based on the visualization you wer...-The fluctuations that are observed in atmospheric CO2 levels which result in the cyclical patterns are due to measurement error","Please answer the following True or False questions, which are based on the visualization you wer...-The annual fluctuations (the fall and rise)  of atmospheric CO2 observed is of the order of 10ppm","Please answer the following True or False questions, which are based on the visualization you wer...-When the U.S. first started measuring atmospheric CO2 levels in 1958, it stood at 332ppm","Please answer the following True or False questions, which are based on the visualization you wer...-The current increase in CO2 levels can be accounted for through the usual fluctuations that have been observed over the past 800,000 years.","Please answer the following True or False questions, which are based on the visualization you wer...-The graphic showed the amount of Carbon Dioxide in the planet Mars's water bodies - oceans, seas and rivers - has been increasing.","Please answer the following True or False questions, which are based on the visualization you wer...-Most victims of suicides are Males who are above 35 years old","Please answer the following True or False questions, which are based on the visualization you wer...-Most homicide victims are Young males","Please answer the following True or False questions, which are based on the visualization you wer...-The proportion of male deaths by homicides compared to the total number of deaths by homicide is approximately 85%","Please answer the following True or False questions, which are based on the visualization you wer...-Compared to the proportion of Older Males in the US population, the number of deaths by Suicides for this demographic group are disproportionately more.","Please answer the following True or False questions, which are based on the visualization you wer...-Compared to the proportion of Black people in the US population, the number of deaths by homicides for this demographic group are disproportionately less.","Please answer the following True or False questions, which are based on the visualization you wer...-Most suicide victims are White males","Please answer the following True or False questions, which are based on the visualization you wer...-Black and Hispanic people are more likely to die from Homicides than Suicides","Please answer the following True or False questions, which are based on the visualization you wer...-Homicides are the most common type of death from gun violence for the year 2014","Please answer the following True or False questions, which are based on the visualization you wer...-There are more older black males than younger black males who are victims of homicides","Please answer the following True or False questions, which are based on the visualization you wer...-The proportion of female deaths by Suicide compared to the total number of deaths by suicides is approximately 28%","Please answer the following True or False questions, which are based on the visualization you wer...-None of the deaths shown in the graphic were caused by an incident which involved a gun","Please answer the following True or False questions, which are based on the visualization you wer...-For an unvaccinated person, the chances of getting infected with measles if they come into contact with an infected person is at least 90%","Please answer the following True or False questions, which are based on the visualization you wer...-Jackson, FL with a vaccination rate of 95%, will most likely be safe from a measles outbreak","Please answer the following True or False questions, which are based on the visualization you wer...-Fairfax, VA with a vaccination rate of 87%, will most likely be unsafe from a measles outbreak","Please answer the following True or False questions, which are based on the visualization you wer...-Even in a community with a high vaccination rate, measles can still spread within pockets of unvaccinated people","Please answer the following True or False questions, which are based on the visualization you wer...-In a community with a high vaccination rate measles fails to propagate within the community since most members of the community are vaccinated","Please answer the following True or False questions, which are based on the visualization you wer...-The desired minimum vaccination rate for a community to safeguard against measles is 80%","Please answer the following True or False questions, which are based on the visualization you wer...-Orange County, CA with a vaccination rate of 92%, will most likely be safe from a measles outbreak","Please answer the following True or False questions, which are based on the visualization you wer...-If a person is vaccinated against measles, there is absolutely no chance of vaccine failure","Please answer the following True or False questions, which are based on the visualization you wer...-A single dose of the measles vaccine is just as effective as two doses","Please answer the following True or False questions, which are based on the visualization you wer...-Everyone can be given the measles vaccine immediately after they are born","Please answer the following True or False questions, which are based on the visualization you wer...-Measles is not an infectious disease, so there is no chance that it would spread from an infected person to a healthy but unvaccinated person.",Please copy this code to enter Mechanical Turk:   ${e://Field/userID}Please make sure you submit...,LocationLatitude,LocationLongitude,LocationAccuracy,LastActivity,
FS_27pQQE9u0KmK8E9,,Anonymous,,,76.4.167.6,0,2018-03-25 12:32:12,2018-03-25 12:34:09,0,int,measles,f9f8969d-f9b2-4410-bfab-2f790d6a2b6e,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,2,2,,,,-1,2018-03-25 12:34:09,
FS_eevTTKGd1AJqCzf,,Anonymous,,,174.218.13.107,0,2018-03-25 12:37:37,2018-03-25 12:38:48,0,story,carbon-clock,558dd15a-76f7-45b6-9885-966368707ef6,106,,,,,,,,,,,,1,1,2,1,1,1,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2018-03-25 12:38:48,
FS_1EXbNbhhKR4ewlX,,Anonymous,,,99.28.181.205,0,2018-03-25 12:38:27,2018-03-25 12:39:38,0,all,measles,532f6c21-45c5-4892-b005-b6c8989d5ccb,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,2,2,2,2,,,,-1,2018-03-25 12:39:38,
FS_12x4dt5VQrHmmFD,,Anonymous,,,107.77.199.191,0,2018-03-25 12:45:55,2018-03-25 12:51:48,0,story,carbon-clock,2cf46e1d-b211-4362-b83f-afcde82b2dbe,153,,,,,,,,,,,,1,1,1,1,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2018-03-25 12:51:48,
FS_ABS1TJYpqlkfyjn,,Anonymous,,,166.182.86.175,0,2018-03-25 12:46:08,2018-03-25 12:48:17,0,int,carbon-clock,ca3e9c4e-69ff-40db-875f-b7b976872d15,154,,,,,,,,,,,,1,1,1,2,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2018-03-25 12:48:17,
FS_2wMgLoWtzvEEXEo,,Anonymous,,,66.216.254.100,0,2018-03-25 12:47:55,2018-03-25 12:49:47,0,all,carbon-clock,3a13f0bf-26dd-4b5b-9e44-5c79d7f07bde,168,,,,,,,,,,,,1,1,1,1,1,2,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2018-03-25 12:49:47,
FS_32PhGIWfzVt0lfI,,Anonymous,,,107.77.237.122,0,2018-03-25 12:50:10,2018-03-25 12:52:05,0,story,us-healthcare,ed0b5c4e-6bd3-48b3-918e-09e5aacb9852,187,1,1,1,1,1,1,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2018-03-25 12:52:05,
FS_2qgELcqu8AUVTUI,,Anonymous,,,129.252.33.90,0,2018-03-25 12:51:47,2018-03-25 12:53:38,0,all,carbon-clock,c951045f-e1c0-4887-9813-b2f3fe22f5c7,178,,,,,,,,,,,,1,1,1,1,1,2,2,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2018-03-25 12:53:38,
FS_2R2K0fpwCavR3k0,,Anonymous,,,69.132.186.169,0,2018-03-25 12:53:47,2018-03-25 12:56:16,0,int,measles,00f52c21-af07-4b46-a1e3-2ec631b2df2c,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,1,2,2,2,2,2,,,,-1,2018-03-25 12:56:16,
FS_1gp55ag4X73h4ae,,Anonymous,,,72.28.238.73,0,2018-03-25 12:55:30,2018-03-25 13:02:25,0,story,us-healthcare,4bc7c8a5-9872-46d9-bac9-ff0a89c18fa5,203,1,1,1,2,1,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2018-03-25 13:02:25,
FS_3PitBs6YTWRwKIN,,Anonymous,,,130.245.192.15,0,2018-03-25 13:01:57,2018-03-25 13:03:43,0,int,us-healthcare,fe6345bd-bc27-4387-8f66-e3bb19929b28,220,2,2,1,1,1,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2018-03-25 13:03:43,
FS_2CBPCozQaNGDOdy,,Anonymous,,,68.9.65.110,0,2018-03-25 13:05:06,2018-03-25 13:07:28,0,none,us-healthcare,a6b1b054-25d2-4922-b3a3-575e00dca4f4,226,1,1,1,1,1,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2018-03-25 13:07:28,
FS_1exFoTS1vd0HYCp,,Anonymous,,,68.19.151.66,0,2018-03-25 13:22:21,2018-03-25 13:28:45,0,all,gun-deaths,f2263270-7a22-4707-ad6d-621ca5ee031c,267,,,,,,,,,,,,,,,,,,,,,,,2,1,2,1,2,1,1,2,2,1,2,,,,,,,,,,,,,,,-1,2018-03-25 13:28:45,
FS_2saP1Pz5KV6B5ce,,Anonymous,,,71.51.235.103,0,2018-03-25 13:25:16,2018-03-25 13:30:27,0,int,measles,f7f711e9-7df7-4a4a-9d7d-6f119ec970e9,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,1,2,1,1,1,1,,,,-1,2018-03-25 13:30:27,
FS_24OiFw64oMPK5Yp,,Anonymous,,,97.121.59.78,0,2018-03-25 13:31:07,2018-03-25 13:33:02,0,int,us-healthcare,6531ca67-daaa-4cd2-8582-5d055f026a31,306,1,1,1,2,1,2,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2018-03-25 13:33:02,
FS_1n8U9tN2seduOPG,,Anonymous,,,208.184.149.1,0,2018-03-25 13:31:58,2018-03-25 13:33:40,0,all,us-healthcare,40a87139-1d88-4e5c-9784-6cc3e3df6e42,304,1,2,1,2,1,2,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2018-03-25 13:33:40,
FS_29ty86UQPfqcUTq,,Anonymous,,,104.62.34.145,0,2018-03-25 13:37:39,2018-03-25 13:42:28,0,story,us-healthcare,a8863775-c94d-4e70-898f-84883a001bbf,289,2,2,1,2,1,2,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2018-03-25 13:42:28,
FS_3lrkw8fDxxYZlO0,,Anonymous,,,75.133.217.186,0,2018-03-25 13:42:06,2018-03-25 13:45:32,0,none,gun-deaths,57776b6d-589e-4a43-ac8d-1054ad62cac2,335,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,2,1,1,2,1,1,2,,,,,,,,,,,,,,,-1,2018-03-25 13:45:32,
FS_1S5JeBp6lz9eiBz,,Anonymous,,,68.225.73.124,0,2018-03-25 13:52:40,2018-03-25 13:57:11,0,none,gun-deaths,ee085ada-9d87-4e3e-b0a1-bd13b2f5aa1e,364,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,2,1,1,2,2,1,2,,,,,,,,,,,,,,,-1,2018-03-25 13:57:11,
FS_2wmCSQsm90NDSUu,,Anonymous,,,68.81.42.79,0,2018-03-25 14:34:39,2018-03-25 14:36:09,0,int,measles,2ccb0512-2013-48ab-af8b-0f665a45a054,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,2,2,2,2,,,,-1,2018-03-25 14:36:09,
FS_3G98Jf6cJqnbtFZ,,Anonymous,,,99.203.0.204,0,2018-03-25 14:39:00,2018-03-25 21:46:11,0,none,measles,49e64079-baa7-4d62-b01c-236da078e25e,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1,1,2,2,2,2,,,,-1,2018-03-25 21:46:11,
FS_1IhoewL51ZcxcN2,,Anonymous,,,64.20.129.222,0,2018-03-25 14:43:33,2018-03-25 14:47:38,0,none,us-healthcare,4564f2c2-8a77-42aa-b756-53b315b35bd1,444,1,1,1,1,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2018-03-25 14:47:38,
FS_3eldZYAS2tAHgHI,,Anonymous,,,108.201.15.80,0,2018-03-25 14:55:16,2018-03-25 14:59:10,0,none,us-healthcare,a911dfa4-0175-4013-81ed-5008c305bdb8,460,2,1,1,1,1,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2018-03-25 14:59:10,
FS_OeB1JVmyapX4Zix,,Anonymous,,,71.58.105.219,0,2018-03-25 15:05:52,2018-03-25 15:07:42,0,story,measles,f206fb6b-4d9f-40d2-bc30-7d4047bf74d7,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,2,2,2,2,,,,-1,2018-03-25 15:07:42,
FS_3HTd7RzrFAKSJlq,,Anonymous,,,107.213.177.74,0,2018-03-25 15:08:31,2018-03-25 15:15:11,0,int,us-healthcare,9279a4bc-7ab1-4378-8452-e7915b7988be,491,1,1,1,2,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2018-03-25 15:15:11,
FS_YazpuVGELABYKwV,,Anonymous,,,174.236.0.106,0,2018-03-25 15:17:20,2018-03-25 15:21:21,0,all,us-healthcare,8c640239-c23a-47bc-b662-42bf80d8406f,502,1,1,1,2,1,2,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,2018-03-25 15:21:21,
FS_2Y56R1wYILDuzoK,,Anonymous,,,73.134.143.181,0,2018-03-25 15:46:13,2018-03-25 15:50:14,0,none,measles,166950d3-32e5-4f08-a3eb-4badd638492a,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,2,1,2,2,1,1,2,,,,-1,2018-03-25 15:50:14,
